b'RT @MeghUpdates: #Covaxin \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 Vaccine Able to Neutralize the Double Mutant variant of #COVID19 (B.1.617) : Chief Medical Advisor to US Presi\xe2\x80\xa6',b'GBK555'
"b'RT @TanushreePande: Gurugram families forced to carry bodies of loved ones to crematoriums in autos &amp; private cars,in absence of ambulances\xe2\x80\xa6'",b'lingarajnepal'
b'RT @cheema_arjan: Shameless #BJP not stopping super spreader political rallies even when we have thousand of people falling like flies due\xe2\x80\xa6',b'Gagan_Cheema22'
"b""Great that we're no longer required to wear masks outdoors when vaccinated, but I still think there's an indoor spa\xe2\x80\xa6 https://t.co/4H5413FBWC""",b'cristianliu'
"b'RT @ItsRubiology: Verified Oxygen bed lead in Baddi, 50 kms from Chandigarh. 10 beds available. Verified at 7:45 PM. They dont have Ambulan\xe2\x80\xa6'",b'fanpage_rubi'
"b'RT @BiharHealthDept: #BiharFightsCorona \nUpdate of the day. \n13,374 more #COVID19 +ve cases have been reported so far on 27th April. \n\xe2\x9e\xa1\xef\xb8\x8fTak\xe2\x80\xa6'",b'RONYARINDAMRAY1'
b'RT @HywelPlaidCymru: Today I challenged the Prime Minister on why #Covid19 tests destined for #Wales were diverted to England. These tests\xe2\x80\xa6',b'LWSupporter'
"b'RT @WSWS_Updates: Under the slogan \xe2\x80\x9cFight for Life,\xe2\x80\x9d several hundred people protested Saturday in the capital city of #Sarajevo against the\xe2\x80\xa6'",b'GladstoneMarian'
"b'RIP Henry Jofel Savellano Segui, a young ER nurse who died of COVID-19 4/23. He was know as a deeply kind person wi\xe2\x80\xa6 https://t.co/zfRrXMobxQ'",b'Kanlungan2'
"b'RT @carolJhedges: \xf0\x9f\x92\x94\xf0\x9f\x98\xb7\xf0\x9f\x92\x94\xf0\x9f\x98\xb7\xf0\x9f\x92\x94\xf0\x9f\x98\xb7\xf0\x9f\x92\x94\nThis line, from wonderful satirist @MarinaHyde says it all.\n""I keep reading that Dominic Cummings \'knows where th\xe2\x80\xa6'",b'gehapeters'
b'@arunbothra @BJYM @ABVPDelhi @ManojTiwariMP @rameshbidhuri \n#BJYMCares #bjymcaresdelhi \nPraying for ur help 2 get t\xe2\x80\xa6 https://t.co/nzHldp0Vdk',b'ManasJurno'
b'ICN CEO @HowardCatton on #nursemigration @NursingNow2020 webinar: \xe2\x80\x9cThere is a huge mismatch of #nursing supply and\xe2\x80\xa6 https://t.co/Oqn73YwkxY',b'ICNurses'
"b'RT @AshishJaggi_1: \xe2\x80\x9cThe Indian Covaxin can neutralize the Double Mutant variant of #COVID19 (B.1.617)\xe2\x80\x9d says Dr. Anthony Fauci,chief medical\xe2\x80\xa6'",b'GuleriaRia'
b'RT @trikosh: Vest koja se \xc4\x8dekala:\n\n\xe2\x80\x9cPeople who became infected with #COVID19 three weeks after receiving one dose of the Pfizer-BioNTech or\xe2\x80\xa6',b'pcekerevac'
b'RT @ASSOCHAM4India: Ensuring inclusion as we #BuildBackBetter!\n\nWith the #COVID19 pandemic leading to widening skill development and employ\xe2\x80\xa6',b'cstaneja1'
"b'RT @rishibagree: PM-CARES under PM Modi \n\n- 2,000 cr for Ventilators\n- 100 cr for Vaccine Development\n- 1,000 cr for Migrant Workers\n- 2 Co\xe2\x80\xa6'",b'Atul_1229'
b'RT @rishibagree: What is the contribution of Rajiv Gandhi Foundation to the nation* during Covid19 pandemic ??? \n\n*By nation we mean India\xe2\x80\xa6',b'Rajat_Hind'
"b'\xe2\x80\x98Stop with this BS\xe2\x80\x99! Joe Biden\xe2\x80\x99s messaging on COVID19 is impossible to understand, even when he (briefly) takes his\xe2\x80\xa6 https://t.co/Z0ujLuohid'",b'kerrykelly514'
b'RT @nkquakyi: 1/New data from Public Health England suggests that a single dose of the Oxford-AstraZeneca #COVID19 vaccine can significantl\xe2\x80\xa6',b'nerdy_ian'
"b'RT @RavinderKapur2: Thank you @KanganaTeam  for not using an oxygen cylinder , let a more deserving person avail that opportunity. \nWhere e\xe2\x80\xa6'",b'MOHDSHABEEL1'
b'RT @PoulomiMSaha: Big breaking! \n\nTMC candidate Kajal Sinha died of #COVID19 on Sunday.\n\nHis wife has now lodged a complaint at Khardaha po\xe2\x80\xa6',b'EJesudasan'
